call_id,take,
0,136,0
1,137,0
2,138,0
3,139,0
4,140,0
5,141,0
6,142,0
7,143,0
8,144,0
9,145,1
10,146,1
11,147,0
12,148,0
13,149,0
14,150,1
15,151,0
16,152,0
17,153,0
18,154,0
19,155,1
20,156,0
21,157,0
22,158,1
23,159,0
24,160,0
25,161,0
26,162,1
27,163,0
28,164,1
29,165,1
30,166,0
31,167,0
32,168,0
33,169,1
34,170,0
35,171,0
36,172,0
37,173,0
38,174,0
39,175,0
40,176,0
41,177,0
42,178,0
43,179,1
44,180,0
45,181,0
46,182,0
47,183,0
48,184,1
49,185,0
50,186,0
51,187,0
52,188,0
53,189,1
54,190,1
55,191,0
56,192,0
57,193,0
58,194,0
59,195,0
60,196,1
61,197,1
62,198,0
63,199,0
64,200,0
65,201,1
66,202,0
67,203,0
68,204,1
69,205,0
70,206,0
71,207,0
72,208,1
73,209,1
74,210,0
75,211,0
76,212,0
77,213,0
78,214,0
79,215,0
80,216,0
81,217,0
82,218,0
83,219,0
84,220,1
85,221,0
86,222,0
87,223,0
88,224,0
89,225,1
90,226,0
91,227,0
92,228,0
93,229,0
94,230,0
95,231,0
96,232,0
97,233,0
98,234,0
99,235,0
100,236,0
101,237,0
102,238,0
103,239,0
104,240,0
105,241,0
106,242,0
107,243,0
108,244,0
109,245,0
110,246,1
111,247,0
112,248,0
113,249,0
114,250,0
115,251,0
116,252,1
117,253,0
118,254,0
119,255,0
120,256,0
121,257,0
122,258,1
123,259,0
124,260,0
125,261,0
126,262,1
127,263,0
128,264,0
129,265,0
130,266,0
131,267,0
132,268,0
133,269,0
134,270,0
135,271,0
136,272,1
137,273,0
138,274,0
139,275,0
140,276,0
141,277,0
142,278,0
143,279,0
144,280,0
145,281,0
146,282,0
147,283,1
148,284,1
149,285,0
150,286,0
151,287,0
152,288,0
153,289,0
154,290,0
155,291,0
156,292,1
157,293,0
158,294,0
159,295,0
160,296,0
161,297,0
162,298,0
163,299,0
164,300,1
165,301,0
166,302,0
167,303,1
168,304,1
169,305,0
170,306,0
171,307,1
172,308,0
173,309,1
174,310,0
175,311,0
176,312,0
177,313,0
178,314,1
179,315,1
180,316,1
181,317,0
182,318,0
183,319,0
184,320,0
185,321,1
186,322,0
187,323,1
188,324,0
189,325,0
190,326,1
191,327,0
192,328,0
193,329,0
194,330,0
195,331,0
196,332,0
197,333,0
198,334,0
199,335,0
200,336,1
201,337,0
202,338,0
203,339,1
204,340,0
205,341,0
206,342,0
207,343,0
208,344,0
209,345,0
210,346,1
211,347,0
212,348,1
213,349,0
214,350,1
215,351,0
216,352,0
217,353,0
218,354,1
219,355,0
220,356,0
221,357,0
222,358,1
223,359,1
224,360,0
225,361,0
226,362,0
227,363,0
228,364,1
229,365,0
230,366,0
231,367,0
232,368,0
233,369,0
234,370,0
235,371,0
236,372,0
237,373,0
238,374,0
239,375,0
240,376,0
241,377,0
242,378,0
243,379,1
244,380,0
245,381,0
246,382,0
247,383,1
248,384,0
249,385,0
250,386,0
251,387,0
252,388,0
253,389,0
254,390,0
255,391,0
256,392,0
257,393,0
258,394,1
259,395,0
260,396,1
261,397,0
262,398,1
263,399,0
264,400,0
265,401,0
266,402,1
267,403,0
268,404,0
269,405,0
270,406,1
271,407,0
272,408,0
273,409,0
274,410,0
275,411,1
276,412,0
277,413,0
278,414,0
279,415,0
280,416,0
281,417,0
282,418,0
283,419,0
284,420,1
285,421,0
286,422,0
287,423,0
288,424,0
289,425,0
290,426,0
291,427,0
292,428,0
293,429,0
294,430,0
295,431,0
296,432,1
297,433,0
298,434,0
299,435,0
300,436,0
301,437,0
302,438,0
303,439,0
304,440,0
305,441,1
306,442,0
307,443,0
308,444,0
309,445,0
310,446,0
311,447,0
312,448,0
313,449,0
314,450,0
315,451,0
316,452,0
317,453,0
318,454,0
319,455,0
320,456,0
321,457,0
322,458,0
323,459,0
324,460,0
325,461,1
326,462,0
327,463,0
328,464,1
329,465,0
330,466,0
331,467,1
332,468,0
333,469,0
334,470,1
335,471,0
